total_crashes,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,pedestrian_injured,pedestrian_killed,persons_injured,persons_killed,year_month,council
295,27,1,32,0,33,0,92,1,2011-08,1
181,12,0,49,0,28,0,89,0,2011-08,2
328,19,0,67,1,41,0,127,1,2011-08,3
341,16,0,52,1,37,0,105,1,2011-08,4
111,7,0,23,0,14,0,44,0,2011-08,5
135,3,0,23,0,10,0,36,0,2011-08,6
117,2,0,39,0,18,0,59,0,2011-08,7
161,10,0,51,0,27,0,88,0,2011-08,8
165,7,0,38,0,23,0,68,0,2011-08,9
132,4,0,30,0,14,0,48,0,2011-08,10
163,4,0,48,0,20,0,72,0,2011-08,11
163,4,0,47,0,13,0,64,0,2011-08,12
200,1,0,43,0,11,0,55,0,2011-08,13
115,2,0,23,0,25,0,50,0,2011-08,14
159,4,0,87,0,20,0,111,0,2011-08,15
107,3,0,52,0,11,0,66,0,2011-08,16
181,2,0,52,0,22,0,76,0,2011-08,17
142,5,0,45,0,16,1,66,1,2011-08,18
216,2,0,71,0,7,0,80,0,2011-08,19
180,1,0,47,0,17,0,65,0,2011-08,20
149,10,0,39,0,5,1,54,1,2011-08,21
170,3,0,46,0,9,0,58,0,2011-08,22
164,3,0,47,0,4,0,54,0,2011-08,23
178,4,0,53,0,11,0,68,0,2011-08,24
144,8,0,34,0,17,1,59,1,2011-08,25
259,5,0,45,0,19,0,69,0,2011-08,26
226,7,0,111,0,15,0,133,0,2011-08,27
218,8,0,102,0,16,0,126,0,2011-08,28
185,2,0,39,0,9,0,50,0,2011-08,29
221,5,0,39,0,14,0,58,0,2011-08,30
191,9,1,66,1,5,0,80,2,2011-08,31
169,7,0,53,0,14,0,74,0,2011-08,32
266,16,0,73,0,25,0,114,0,2011-08,33
213,22,1,62,0,8,0,92,1,2011-08,34
186,13,0,73,0,20,0,106,0,2011-08,35
177,10,0,70,1,20,0,100,1,2011-08,36
180,6,0,49,0,22,0,77,0,2011-08,37
219,7,0,61,0,15,0,83,0,2011-08,38
204,14,0,50,0,19,0,83,0,2011-08,39
150,7,0,42,0,17,0,66,0,2011-08,40
173,13,0,96,0,17,0,126,0,2011-08,41
170,5,0,82,1,16,0,103,1,2011-08,42
172,6,0,31,1,11,0,48,1,2011-08,43
143,0,0,49,0,18,0,67,0,2011-08,44
200,14,0,105,0,19,0,138,0,2011-08,45
187,6,0,65,0,14,0,85,0,2011-08,46
159,8,0,53,0,12,0,73,0,2011-08,47
